name,ride_type,element_count,max_speed_mph,average_speed_mph,ride_length_m,max_positive_vertical_g,max_negative_vertical_g,max_lateral_g,inversion_count,drop_count,highest_drop_height_m,total_air_time_raw,excitement,intensity,nausea
Great White Wail,52,139,49.5,18.0,1079,3.2,-1.6,1.6,2,7,24.0,8,8.4,8.7,4.8
Hairyplanes,2,118,47.25,15.75,900,2.88,-1.6,2.56,0,6,19.5,10,6.5,7.0,7.1
Hardwood,52,80,45.0,13.5,596,3.2,-1.28,1.92,0,5,19.5,11,6.6,7.6,4.5
Haunted Mansion,50,70,20.25,4.5,320,1.6,0.32,1.28,0,4,3.0,0,3.9,0.4,0.2
Hawksnest,76,76,38.25,11.25,345,2.88,-1.28,2.24,0,7,13.5,8,6.6,7.6,4.6
Hedgehog,15,63,45.0,15.75,574,3.52,-0.64,1.6,2,3,19.5,1,6.0,5.6,2.6
Helixius,51,82,45.0,18.0,830,3.84,-1.28,1.92,3,5,19.5,6,6.3,6.2,3.6
Hell Hound,51,99,51.75,18.0,804,2.88,-1.28,1.92,0,8,18.0,19,6.8,5.3,2.7
Hover Bother,11,72,4.5,2.25,393,0.96,0.96,0.0,0,2,3.0,0,3.6,0.5,0.0
Ice Chaser,68,144,67.5,20.25,1239,3.2,-1.28,1.6,0,5,42.0,8,7.8,5.0,3.1
Ice Flow,16,62,31.5,15.75,391,2.24,-0.96,1.28,0,5,7.5,1,2.5,2.7,1.6
Icicle Bob,13,76,36.0,11.25,697,2.24,0.32,1.28,0,2,3.0,0,6.0,5.5,4.8
Ignition,13,106,45.0,13.5,748,2.56,-0.32,1.6,0,5,16.5,1,6.1,6.3,4.4
Impulsive,86,31,65.25,33.75,240,4.16,0.0,0.0,0,6,45.0,84,5.7,7.1,5.6
Insecticide,7,70,29.25,11.25,510,2.24,0.0,1.6,0,8,6.0,0,5.8,6.1,4.6
Ionizer,19,105,47.25,15.75,894,3.2,-1.28,1.6,2,9,19.5,11,6.5,6.8,3.2
Jellycopters,61,62,4.5,2.25,303,0.96,0.96,0.0,0,3,3.0,0,3.3,0.5,0.0
Jellyfish,15,135,51.75,18.0,817,3.52,-1.6,2.24,0,11,25.5,37,6.2,6.6,3.2
Judge Roy Scream,52,136,51.75,15.75,769,3.52,-1.28,0.96,0,11,25.5,23,6.3,7.9,4.6
Jungle Racers,11,40,4.5,4.5,219,0.96,0.96,0.0,0,1,3.0,0,3.3,0.6,0.0
King Rapids,24,58,18.0,2.25,233,0.96,0.96,0.0,0,1,3.0,0,4.0,1.3,0.8
Krypton Dips,51,131,42.75,18.0,826,2.88,-1.28,1.92,0,12,13.5,37,7.2,5.8,3.1
La Vibora,13,66,29.25,13.5,478,1.92,0.0,1.28,0,4,6.0,0,5.2,5.6,4.0
Lava Launch,90,55,67.5,33.75,616,4.16,-1.92,1.6,4,5,42.0,30,6.5,9.4,5.5
Liberty Loop,51,51,38.25,11.25,455,2.56,-0.64,1.28,2,3,13.5,5,6.3,4.3,2.3
Lobotomizer,73,83,45.0,15.75,674,3.52,-1.6,1.92,3,6,19.5,9,5.9,8.2,6.6
Loop-the-Loop,86,70,69.75,45.0,371,4.16,-2.24,0.0,0,9,37.5,81,6.8,8.4,6.0
Loup-Garou,52,157,45.0,18.0,946,2.88,-0.96,1.28,0,12,19.5,18,6.9,7.9,4.5
Lunar Launcher,51,149,56.25,27.0,1346,3.84,-1.92,2.24,6,14,25.5,27,7.7,8.6,4.6
Mango Muncher,4,50,33.75,11.25,390,2.24,-0.32,2.24,0,4,12.0,3,5.1,5.5,3.8
Manic Miner,17,89,36.0,15.75,686,2.56,-0.96,1.28,0,6,7.5,9,6.1,6.5,4.1
Medusa,51,159,63.0,20.25,1277,4.16,-1.28,2.24,7,12,37.5,12,7.9,9.0,4.9
Megatrucks,11,44,6.75,2.25,213,0.96,0.96,0.0,0,4,7.5,0,4.6,0.7,0.0
Microfobia,52,56,40.5,18.0,459,2.56,-0.64,1.6,0,4,13.5,3,6.2,6.8,3.8
Mine Mania,88,41,33.75,24.75,343,2.24,-0.64,1.28,0,4,3.0,6,6.4,4.5,3.8
Mini Maze,20,40,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.5,0.6,0.0
Mini Miner,9,74,33.75,13.5,375,2.56,-0.96,2.24,0,8,12.0,6,7.1,8.1,4.5
Minidiver,44,54,49.5,15.75,434,3.2,-1.6,1.92,0,5,21.75,15,6.2,6.1,2.7
Mouse Towers,9,80,29.25,9.0,402,2.88,-1.28,1.92,0,9,7.5,8,7.1,7.7,4.6
Multidiver,86,60,63.0,38.25,314,3.84,-2.24,0.0,0,6,30.0,55,6.1,7.7,5.5
Mummy's Curse,1,73,45.0,15.75,634,3.52,-1.6,1.92,2,6,19.5,5,5.7,8.9,6.0
Mutant Mouse,54,88,29.25,11.25,380,2.24,0.0,1.92,0,6,7.5,0,6.5,6.7,5.4
Mystic Flight,62,92,45.0,15.75,777,4.16,-0.96,1.92,5,8,19.5,8,7.2,8.2,6.0
Neptune's Knot,68,111,51.75,20.25,976,3.52,-1.28,2.24,0,7,25.5,15,7.7,5.4,3.0
Nitro,51,181,85.5,24.75,1660,3.52,-2.24,1.6,0,11,66.0,37,8.8,7.3,3.8
Octivator,19,113,49.5,13.5,948,3.2,-1.28,1.6,8,13,25.5,9,6.8,9.0,4.3
Oil Derrick,43,27,9.0,6.75,182,0.96,0.96,0.0,0,0,0.0,0,5.6,0.3,1.0
Old Timers,11,46,4.5,2.25,197,0.96,0.96,0.0,0,3,3.0,0,0.3,0.2,0.0
Pegasus,11,76,11.25,2.25,333,0.96,0.96,0.0,0,5,3.0,0,3.2,0.6,0.0
Pendulator,2,73,45.0,13.5,534,2.88,-1.28,2.56,0,5,19.5,6,6.2,6.7,6.9
Penguin Paradise,13,112,45.0,13.5,770,2.56,-0.96,1.92,0,8,6.0,6,6.1,6.7,4.7
Penguin Toboggan,13,120,45.0,24.75,569,2.56,-0.96,1.6,0,7,6.0,4,6.5,6.9,4.8
Percolator,0,63,40.5,15.75,499,2.56,-0.64,1.6,0,3,13.5,2,6.2,3.7,2.1
Phantom Spirit,62,99,45.0,13.5,708,4.16,-1.28,1.92,2,6,19.5,14,7.2,7.3,5.7
Polar Cap,73,21,56.25,15.75,250,3.52,-2.24,0.96,2,4,25.5,5,5.8,8.3,6.1
Polarity,10,76,27.0,11.25,514,1.92,0.0,1.6,0,7,6.0,0,5.5,5.0,3.6
Pony Tales,10,79,29.25,11.25,468,2.24,-0.32,1.92,0,9,7.5,5,5.4,5.4,3.9
Production Line,10,67,27.0,11.25,463,1.92,0.0,1.28,0,8,4.5,0,5.2,4.9,3.5
Psyclone,52,198,51.75,18.0,1247,3.52,-1.92,2.56,0,17,25.5,35,7.5,9.6,5.5
Pylon Peril,2,109,51.75,15.75,827,3.52,-1.92,2.24,0,6,19.5,15,7.3,7.2,7.4
Quantum Thruster,90,74,58.5,22.5,627,3.84,-0.96,2.24,3,5,28.5,6,6.4,8.4,5.2
Racer-saurus,10,139,36.0,9.0,760,2.24,0.0,1.28,0,13,10.5,0,7.3,5.8,4.3
Radical Air,7,81,27.0,11.25,501,1.92,0.0,1.92,0,7,6.0,0,5.0,6.1,4.4
Rapid Response,65,103,36.0,11.25,682,2.56,-0.32,1.6,0,8,12.0,0,6.4,5.9,4.5
Rat Race,54,94,29.25,9.0,459,2.24,-0.32,1.92,0,11,6.0,0,6.8,7.2,5.9
Rattlesnake,15,73,45.0,15.75,775,3.84,-0.64,1.28,2,4,19.5,1,5.8,5.6,3.2
Raven Racer,51,133,42.75,15.75,815,2.88,-1.6,2.56,0,12,13.5,24,7.4,8.1,4.8
Raving Rockets,87,65,36.0,13.5,498,2.24,0.0,1.28,0,5,10.5,0,5.1,5.2,3.6
Red Baron,1,56,38.25,11.25,458,3.84,-1.28,2.24,4,7,13.5,3,5.1,9.4,6.4
Regurgitator,2,106,49.5,18.0,790,2.88,-1.28,2.88,0,8,19.5,14,7.6,9.0,10.4
Revertigo,73,24,42.75,15.75,416,3.2,-0.64,1.6,6,9,15.75,0,6.2,9.2,7.2
Ricochet,52,80,45.0,15.75,561,3.2,-1.28,1.6,1,7,19.5,11,6.3,7.9,4.4
River Of The Damned,79,34,4.5,2.25,319,0.96,0.96,0.0,0,0,0.0,0,2.9,0.4,0.4
Roadworks,11,40,4.5,2.25,232,0.96,0.96,0.0,0,2,3.0,0,3.3,0.5,0.0
Robin Hood,52,129,51.75,15.75,813,3.2,-1.6,1.6,0,9,25.5,22,6.8,8.1,4.6
Rocket Rush,42,33,74.25,38.25,350,3.52,0.0,0.0,0,1,44.25,13,5.2,7.7,5.5
Rolling Thunder (Track 1),52,126,51.75,15.75,747,3.52,-1.6,1.6,0,9,25.5,26,7.0,8.1,4.7
Rolling Thunder (Track 2),52,126,51.75,15.75,748,3.2,-1.28,0.96,0,8,25.5,23,6.8,7.7,4.4
Roman Racers,53,68,31.5,9.0,472,2.24,-0.32,1.92,0,8,6.0,4,5.3,6.1,3.5
Rotovator,65,85,36.0,11.25,556,2.24,0.0,1.92,0,5,12.0,0,6.4,5.7,4.3
Roughrider,52,93,47.25,18.0,815,3.2,-1.28,1.28,0,6,19.5,10,7.0,7.6,4.4
Runaway Mine Train,17,82,31.5,13.5,620,2.24,-0.32,0.96,0,4,4.5,2,2.8,2.7,1.8
Sawdust,52,108,45.0,15.75,750,2.88,-1.28,1.28,0,10,13.5,26,7.5,7.8,4.7
Seal Sliding,19,158,58.5,15.75,1047,3.2,-1.6,1.6,2,10,18.0,10,6.4,7.0,3.2
Shimmy,52,113,47.25,18.0,908,2.88,-1.6,0.96,0,9,13.5,13,7.1,7.7,4.5
Shockwave,15,105,47.25,11.25,697,4.16,-1.28,0.96,2,9,19.5,11,6.0,6.0,3.0
Siege Breaker,0,69,45.0,15.75,549,3.2,-0.96,1.92,0,4,19.5,9,6.3,4.3,2.3
Silvertwist,51,80,45.0,15.75,582,3.2,-1.28,1.6,3,5,19.5,11,6.1,5.6,2.8
Sky Tower,43,27,9.0,6.75,182,0.96,0.96,0.0,0,0,0.0,0,5.6,0.3,1.0
Slippery Seals,19,173,60.75,22.5,1253,4.16,-1.6,2.24,4,15,25.5,18,6.6,9.3,4.3
Soul Stealer,44,79,54.0,13.5,685,3.52,-1.6,1.6,0,5,27.75,13,6.5,6.0,2.6
Spiral Hedges,20,74,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.6,0.6,0.0
Splash Mine,23,63,27.0,2.25,366,0.96,0.96,0.0,0,4,7.5,0,5.3,2.4,1.4
Splashtastic,74,57,31.5,9.0,404,2.24,-0.96,1.28,0,5,7.5,4,5.9,5.7,4.1
Splinter,52,93,42.75,13.5,728,2.88,-1.6,2.56,0,6,10.5,8,7.0,7.9,4.7
Spruce Goose,74,147,51.75,9.0,908,3.2,-0.96,1.28,0,10,25.5,12,7.2,6.9,5.0
Squeaky Cycles,72,26,4.5,2.25,173,0.96,0.96,0.0,0,0,0.0,0,2.3,0.2,0.0
Stampede!,1,72,38.25,13.5,563,3.52,-1.28,1.92,2,5,13.5,9,5.6,8.5,6.0
Steel Squeak,54,110,31.5,11.25,486,2.88,-1.28,1.92,0,11,7.5,5,7.2,7.8,4.8
Stingray,15,36,49.5,20.25,595,3.52,0.32,0.96,2,5,15.75,0,5.9,5.0,2.3
Supersonic,87,80,45.0,11.25,562,3.2,-0.96,1.28,0,4,19.5,4,5.6,5.6,4.0
Swither,2,72,45.0,13.5,549,3.2,-1.6,2.24,0,4,19.5,9,5.5,6.6,6.7
Terror-dactyl,57,81,42.75,11.25,559,3.52,-1.6,1.92,1,6,16.5,10,6.9,7.4,6.7
Texas Giant,52,216,58.5,18.0,1430,3.84,-1.92,0.96,0,14,31.5,43,8.4,8.9,5.5
Texas Tubs,59,56,27.0,11.25,276,1.92,-0.32,2.24,0,6,3.0,0,5.4,5.5,5.9
The Plague,13,108,42.75,13.5,815,2.56,-0.32,1.6,0,4,15.0,0,5.9,6.3,5.1
Timber Turnaround,65,62,27.0,11.25,427,1.92,-0.32,1.6,0,7,6.0,0,4.9,5.2,3.8
Time Twister,51,96,47.25,13.5,683,3.84,-1.28,2.56,4,9,19.5,14,7.0,6.9,3.8
Tinder,52,111,45.0,15.75,685,3.2,-1.6,1.6,0,9,19.5,29,7.0,7.8,4.7
Titan,51,239,90.0,22.5,1670,4.16,-1.92,2.24,0,8,72.0,14,8.1,7.3,3.7
To The Death,10,106,33.75,11.25,615,2.24,0.0,1.6,0,7,10.5,0,4.7,5.1,3.6
Tornado,19,83,38.25,13.5,626,3.52,-1.6,1.92,2,8,13.5,5,5.8,6.9,3.2
Touchwood,52,156,51.75,15.75,1091,3.52,-1.92,1.6,0,12,25.5,27,7.5,8.6,5.2
Toxic Toboggan,13,51,38.25,11.25,456,2.56,0.0,1.6,0,2,6.0,0,5.3,5.7,4.8
Treetop Choppers,61,40,4.5,2.25,230,0.96,0.96,0.0,0,1,3.0,0,3.1,0.4,0.0
Triple Corkscrew,19,79,38.25,13.5,523,3.84,-1.28,1.92,3,10,13.5,12,5.6,7.4,3.2
Turbine,15,27,49.5,24.75,314,4.48,0.32,0.0,2,4,21.75,0,5.0,4.9,2.1
Twicky Twister,66,29,38.25,9.0,202,2.56,-1.28,0.96,1,3,13.5,7,2.8,6.5,4.4
Twin Loop,73,41,58.5,24.75,632,4.16,-2.24,0.96,4,9,21.75,4,6.4,9.9,7.4
Twisty Towers,0,92,47.25,15.75,813,2.88,-0.32,1.28,0,5,19.5,5,6.8,4.0,2.4
Ugly Twisters,52,168,45.0,15.75,1319,3.2,-1.6,1.6,0,10,19.5,16,8.5,8.3,5.5
Updraft,57,100,45.0,15.75,826,2.56,-1.28,1.28,1,7,19.5,12,7.6,6.9,6.7
Velocerator,68,183,76.5,29.25,1770,3.2,-1.28,1.28,0,12,53.25,40,8.7,6.2,3.6
Venomous,1,84,40.5,15.75,563,2.88,-1.28,1.28,1,6,13.5,11,5.2,7.9,5.5
Verticulator,51,124,72.0,24.75,1194,4.16,-1.92,2.24,0,8,42.0,34,8.1,7.0,3.6
Viper,19,136,58.5,13.5,948,3.84,-0.96,2.56,7,12,34.5,4,7.2,9.3,4.4
Wheely Reel,59,74,24.75,11.25,348,1.92,0.0,1.92,0,3,3.0,0,6.1,4.9,5.6
Whiteout,52,114,51.75,18.0,983,3.52,-1.92,1.6,0,7,19.5,13,7.2,8.1,4.6
Whitewash,52,102,45.0,18.0,713,2.88,-1.28,1.92,0,9,19.5,16,7.6,8.1,4.8
Wicked Whizzer,0,81,47.25,15.75,713,3.2,-1.28,1.92,0,5,19.5,8,6.6,4.6,2.7
Wings of Apollo,75,43,85.5,45.0,357,3.84,-2.24,1.92,0,1,60.0,16,8.0,8.9,6.9
Woodchip,52,108,38.25,13.5,628,2.88,-1.28,1.28,0,11,13.5,19,6.4,7.6,4.5
Woodwind,52,127,45.0,18.0,998,2.88,-1.28,1.28,0,9,19.5,23,7.5,7.6,4.6
Woodworm,52,103,45.0,13.5,742,2.88,-1.6,1.6,0,6,19.5,19,7.3,7.5,4.6
X,55,144,65.25,15.75,804,4.16,-1.6,1.6,1,8,36.0,19,7.2,8.5,8.0
generide-evolved-seed123,17,114,33.75,15.75,616,2.24,-0.32,2.56,0,8,12.0,9,5.4,6.9,4.3
